"MLS_NUM","ADDR_LAT","ADDR_LON"
"71154451","42.6165","-71.1271"
"71156506","42.6551","-71.2422"
"71159003","42.6629","-71.1584"
"71159298","42.6035","-71.1168"
"71160264","42.6651","-71.1461"
"71160684","42.6548","-71.1208"
"71161046","42.6735","-71.1533"
"71161932","42.6696","-71.1754"
"71163005","42.6736","-71.1512"
"71164200","42.6511","-71.1763"
"71165280","42.6234","-71.1623"
"71165903","42.6589","-71.1741"
"71166346","42.6152","-71.1391"
"71167170","42.6588","-71.2196"
"71169146","42.6057","-71.1125"
"71169580","42.673","-71.1841"
"71169678","42.6603","-71.2294"
"71169802","42.6382","-71.1307"
"71170120","42.6662","-71.2222"
"71170661","42.6015","-71.1205"
"71171173","42.6584","-71.137"
"71171176","42.6662","-71.1693"
"71171667","42.5796","-71.0923"
"71172477","42.6608","-71.1632"
"71174705","42.667","-71.1303"
"71174784","42.6564","-71.1166"
"71175578","42.6797","-71.1561"
"71176155","42.6521","-71.1685"
"71177585","42.6721","-71.1517"
"71177644","42.6574","-71.1282"
"71177907","42.624","-71.1658"
"71178244","42.6603","-71.1564"
"71178500","42.6234","-71.1145"
"71180382","42.6219","-71.1563"
"71180434","42.6259","-71.1368"
"71180559","42.6596","-71.1486"
"71180852","42.669","-71.1562"
"71181565","42.6116","-71.1407"
"71181850","42.6423","-71.1451"
"71182382","42.6029","-71.1104"
"71182594","42.6478","-71.1475"
"71184161","42.6084","-71.0891"
"71185192","42.6282","-71.1586"
"71186701","42.6058","-71.114"
"71186821","42.6287","-71.1519"
"71186937","42.6282","-71.1586"
"71187705","42.6699","-71.1392"
"71189237","42.6684","-71.1277"
"71190925","42.6412","-71.1489"
"71191245","42.6553","-71.1602"
"71191531","42.6623","-71.1439"
"71191841","42.6544","-71.1734"
"71193186","42.6741","-71.1689"
"71193297","42.6751","-71.1406"
"71194411","42.6724","-71.1753"
"71194595","42.644","-71.1466"
"71194610","42.6281","-71.1663"
"71194625","42.6303","-71.1268"
"71195268","42.6644","-71.1647"
"71195322","42.677","-71.1564"
"71195603","42.6635","-71.1634"
"71196263","42.6736","-71.1512"
"71196783","42.6323","-71.14"
"71197628","42.6014","-71.1215"
"71198744","42.6607","-71.1572"
"71199687","42.6301","-71.1779"
"71200103","42.6745","-71.14"
"71201665","42.6451","-71.2212"
"71201703","42.6719","-71.2292"
"71202071","42.6241","-71.1228"
"71202185","42.6342","-71.1659"
"71202992","42.6432","-71.2109"
"71204855","42.6669","-71.1607"
"71205140","42.6635","-71.1745"
"71205291","42.6592","-71.1832"
"71206403","42.638","-71.1335"
"71207142","42.6804","-71.2241"
"71207624","42.6281","-71.1473"
"71207743","42.6431","-71.2213"
"71208059","42.6745","-71.1623"
"71208496","42.6589","-71.2346"
"71208516","42.6082","-71.0867"
"71208872","42.6006","-71.208"
"71209179","42.6596","-71.139"
"71209197","42.6614","-71.1331"
"71212566","42.659","-71.1383"
"71212645","42.6169","-71.1545"
"71212994","42.6479","-71.1584"
"71213418","42.6231","-71.1666"
"71214601","42.6536","-71.1313"
"71214822","42.6752","-71.1501"
"71216289","42.6578","-71.2421"
"71216309","42.674","-71.2185"
"71216386","42.6424","-71.1484"
"71217082","42.6486","-71.2356"
"71218469","42.6735","-71.1529"
"71219642","42.6301","-71.0958"
"71220357","42.6579","-71.1589"
"71221129","42.6762","-71.1563"
"71221239","42.6658","-71.141"
"71222163","42.6296","-71.1304"
"71222214","42.6495","-71.1487"
"71222530","42.6671","-71.1287"
"71222937","42.6783","-71.2076"
"71223163","42.6718","-71.1526"
"71223209","42.6418","-71.1238"
"71223297","42.6216","-71.1561"
"71223477","42.67","-71.1545"
"71223714","42.6534","-71.137"
"71223738","42.6475","-71.161"
"71224018","42.6485","-71.17"
"71224443","42.6296","-71.1716"
"71224700","42.6593","-71.2324"
"71225803","42.6788","-71.1588"
"71226252","42.6615","-71.1413"
"71226313","42.6595","-71.1712"
"71226411","42.6652","-71.146"
"71227803","42.6276","-71.1306"
"71228192","42.6129","-71.1465"
"71229195","42.6718","-71.1464"
"71230802","42.6616","-71.1292"
"71230866","42.6327","-71.1881"
"71230946","42.6529","-71.1707"
"71231543","42.6595","-71.1403"
"71232784","42.6259","-71.1594"
"71233602","42.625","-71.1748"
"71234559","42.6654","-71.1461"
"71234741","42.6584","-71.137"
"71235713","42.6282","-71.1586"
"71235736","42.6281","-71.1845"
"71235762","42.6595","-71.1259"
"71235992","42.626","-71.1587"
"71238076","42.6625","-71.2333"
"71238644","42.6148","-71.145"
"71238686","42.6691","-71.2346"
"71241171","42.6744","-71.1346"
"71241531","42.6628","-71.1559"
"71241880","42.6627","-71.2348"
"71242102","42.6022","-71.1062"
"71242680","42.6365","-71.1236"
"71243056","42.6602","-71.1238"
"71243507","42.6479","-71.2365"
"71244026","42.6282","-71.1586"
"71248609","42.624","-71.1237"
"71249190","42.6529","-71.1172"
"70674834","42.3577","-71.3706"
"70676892","42.4823","-71.2461"
"70706291","42.3972","-71.1913"
"70706292","42.3949","-71.1945"
"70706301","42.3949","-71.1945"
"70706302","42.3949","-71.1945"
"70706307","42.3202","-71.2934"
"70709507","42.3293","-71.3024"
"70712563","42.4845","-71.237"
"70732485","42.3301","-71.2811"
"70734128","42.4192","-71.0949"
"70741824","42.3921","-71.1373"
"70758516","42.3647","-71.2993"
"70759200","42.3352","-71.3204"
"70760432","42.3206","-71.3627"
"70764852","42.317","-71.2992"
"70775843","42.4183","-71.1016"
"70780686","42.3401","-71.334"
"70785550","42.3706","-71.1654"
"70789602","42.4617","-71.3425"
"70792393","42.3944","-71.1707"
"70792406","42.3943","-71.1707"
"70792414","42.3942","-71.1708"
"70792743","42.3088","-71.3006"
"70801413","42.351","-71.3358"
"70805826","42.3391","-71.2346"
"70806445","42.4165","-71.0916"
"70808509","42.4396","-71.1522"
"70814745","42.3155","-71.2616"
"70814895","42.3388","-71.3338"
"70815005","42.4312","-71.1561"
"70815210","42.3695","-71.3647"
"70817439","42.4759","-71.1016"
"70819747","42.3706","-71.1654"
"70819959","42.3087","-71.291"
"70820200","42.3706","-71.1654"
"70820957","42.3707","-71.0786"
"70820958","42.3707","-71.0786"
"70820963","42.3707","-71.0786"
"70822663","42.3707","-71.0826"
"70825103","42.4812","-71.0992"
"70825271","42.3795","-71.2493"
"70826653","42.4842","-71.0803"
"70827903","42.3136","-71.3256"
"70827914","42.3169","-71.2777"
"70830351","42.2963","-71.2929"
"70830576","42.3796","-71.1087"
"70832073","42.3634","-71.2034"
"70833699","42.4116","-71.2516"
"70837935","42.4594","-71.3318"
"70838707","42.3897","-71.0946"
"70838825","42.4577","-71.1433"
"70840013","42.311","-71.3025"
"70840464","42.3682","-71.2251"
"70841868","42.3255","-71.3068"
"70844243","42.3789","-71.2897"
"70845270","42.4566","-71.1996"
"70845774","42.3182","-71.18"
"70845896","42.3696","-71.36"
"70847730","42.4329","-71.3712"
"70848732","42.3178","-71.2168"
"70849811","42.394","-71.0886"
"70853200","42.3784","-71.1496"
"70854477","42.3302","-71.3411"
"70854610","42.3323","-71.3759"
"70854664","42.3963","-71.0958"
"70854987","42.4015","-71.1067"
"70856258","42.3962","-71.0982"
"70857806","42.4028","-71.1284"
"70864598","42.366","-71.0968"
"70864841","42.4375","-71.0889"
"70865801","42.4734","-71.3773"
"70866292","42.3244","-71.1861"
"70866914","42.3447","-71.2689"
"70867490","42.4559","-71.1657"
"70868186","42.3702","-71.0783"
"70868324","42.4016","-71.1044"
"70868461","42.4289","-71.09"
"70868744","42.295","-71.2919"
"70868912","42.3735","-71.3711"
"70868953","42.3224","-71.1774"
"70871861","42.3858","-71.0848"
"70871902","42.3196","-71.257"
"70872039","42.3178","-71.1627"
"70872670","42.4317","-71.2536"
"70873508","42.4244","-71.09"
"70874470","42.3663","-71.2365"
"70877477","42.3956","-71.127"
"70877626","42.3152","-71.2687"
"70877812","42.3386","-71.3338"
"70879747","42.4349","-71.2185"
"70880027","42.3073","-71.2948"
"70880632","42.3972","-71.1913"
"70880979","42.462","-71.3501"
"70882106","42.462","-71.3501"
"70882758","42.332","-71.2327"
"70882851","42.2745","-71.3099"
"70883239","42.3763","-71.1085"
"70883265","42.3826","-71.0889"
"70883340","42.4677","-71.1393"
"70883828","42.3182","-71.18"
"70884769","42.3815","-71.0875"
"70884842","42.3572","-71.309"
"70884874","42.3926","-71.3057"
"70884875","42.3927","-71.3061"
"70885412","42.4488","-71.1625"
"70885950","42.3885","-71.1926"
"70886212","42.3669","-71.2323"
"70887316","42.375","-71.095"
"70887319","42.375","-71.095"
"70887323","42.375","-71.095"
"70887641","42.3934","-71.0892"
"70887756","42.3972","-71.1913"
"70887930","42.4131","-71.1308"
"70888391","42.3077","-71.3158"
"70888452","42.4465","-71.2278"
"70889349","42.4519","-71.3513"
"70889443","42.3038","-71.1745"
"70890513","42.4406","-71.0911"
"70891416","42.4007","-71.2358"
"70892017","42.3797","-71.1218"
"70892259","42.3647","-71.2993"
"70892872","42.2927","-71.2828"
"70892919","42.306","-71.2874"
"70893106","42.3076","-71.2169"
"70893189","42.3647","-71.2993"
"70893196","42.3647","-71.2993"
"70893296","42.392","-71.0904"
"70893336","42.3848","-71.1074"
"70894114","42.2973","-71.2002"
"70894411","42.4285","-71.2399"
"70896005","42.3268","-71.2358"
"70896638","42.3183","-71.1801"
"70896667","42.5003","-71.1144"
"70896946","42.3704","-71.2494"
"70896992","42.4623","-71.3752"
"70897450","42.3127","-71.2231"
"70897801","42.4008","-71.1616"
"70901239","42.3827","-71.1156"
"70901906","42.451","-71.3881"
"70903060","42.4015","-71.1154"
"70903223","42.3183","-71.1801"
"70904275","42.3595","-71.1844"
"70904383","42.409","-71.1877"
"70904883","42.3595","-71.1125"
"70906137","42.3779","-71.1323"
"70906798","42.4597","-71.3512"
"70906953","42.3123","-71.3029"
"70907340","42.4617","-71.138"
"70907732","42.4407","-71.1376"
"70907734","42.4095","-71.1847"
"70908139","42.3682","-71.2124"
"70908462","42.4797","-71.0981"
"70908599","42.3247","-71.2345"
"70908913","42.3643","-71.077"
"70908927","42.3656","-71.2877"
"70909475","42.3328","-71.3741"
"70910170","42.2836","-71.2893"
"70910573","42.4407","-71.2377"
"70910580","42.4962","-71.1166"
"70910732","42.309","-71.318"
"70910849","42.3922","-71.0999"
"70911620","42.3429","-71.3606"
"70911768","42.4525","-71.203"
"70911946","42.4381","-71.241"
"70912185","42.4269","-71.2158"
"70912244","42.3671","-71.0991"
"70912319","42.3224","-71.1774"
"70912929","42.4962","-71.1166"
"70913128","42.4542","-71.1555"
"70913569","42.3017","-71.2953"
"70913570","42.3017","-71.2953"
"70913589","42.3017","-71.2953"
"70913591","42.3017","-71.2953"
"70913935","42.3938","-71.1371"
"70914258","42.406","-71.1298"
"70914685","42.3045","-71.263"
"70914805","42.4335","-71.209"
"70914945","42.4357","-71.256"
"70915098","42.4498","-71.1976"
"70915174","42.4053","-71.1242"
"70915186","42.4642","-71.145"
"70915190","42.4609","-71.2221"
"70915191","42.4609","-71.2221"
"70915193","42.4609","-71.2221"
"70915194","42.4609","-71.2221"
"70915195","42.4609","-71.2221"
"70916736","42.4499","-71.1265"
"70916868","42.442","-71.1273"
"70917106","42.3115","-71.2014"
"70917726","42.3999","-71.2263"
"70917890","42.326","-71.269"
"70917891","42.4535","-71.3779"
"70918072","42.4335","-71.397"
"70918150","42.3726","-71.1256"
"70918188","42.4305","-71.1727"
"70918849","42.3437","-71.227"
"70918873","42.5158","-71.2974"
"70919230","42.3872","-71.0807"
"70919291","42.3026","-71.1891"
